"","date","log_mean_total_copies","seven_day_front","seven_day_mid","seven_day_back"
"1",2020-06-30,14.0398026830188,99,198,248
"2",2020-07-07,13.790071268022,248,236,239
"3",2020-07-14,14.1863754869529,239,243,278
"4",2020-07-21,14.1928410815513,278,256,220
"5",2020-07-28,13.6573885414356,220,269,266
"6",2020-08-04,12.346226924184,266,303,340
"7",2020-08-11,12.7214251786553,340,241,183
"8",2020-08-18,13.7354710155893,183,213,247
"9",2020-08-25,13.179668078912,247,315,405
"10",2020-09-01,14.4493165982701,405,673,872
"11",2020-09-08,14.3157619683337,872,904,752
"12",2020-09-15,14.1809087912643,752,507,350
"13",2020-09-22,13.1689632433177,350,176,145
"14",2020-09-29,13.4834501502911,145,148,167
"15",2020-10-06,13.3705140420106,167,162,173
"16",2020-10-13,13.0774300004014,173,210,176
"17",2020-10-20,13.4595875823575,176,139,157
"18",2020-10-27,13.3846647518258,157,153,169
